name,ssn_solved,ssn_time,ssn_iters,ssn_status,ssn_obj,ssn_peak_ram_mb,qpalm_solved,qpalm_time,qpalm_iters,qpalm_status,qpalm_obj,qpalm_peak_ram_mb,osqp_solved,osqp_time,osqp_iters,osqp_status,osqp_obj,osqp_peak_ram_mb
HS118,1,0.0014262916520237923,143,0,664.8204500028901,845.53125,1,0.00016408320516347885,31,1,664.8204414358344,845.53125,1,0.0004594177007675171,675,1,664.8204396149034,845.53125
HS21,1,6.175041198730469e-05,6,0,-99.9600000023202,845.53125,1,4.2458996176719666e-05,7,1,0.03999999995026208,845.53125,1,0.0001571672037243843,75,1,0.03999996951412155,845.53125
HS268,1,0.0027898335829377174,530,0,-1.2605050869751722e-06,845.53125,1,4.812516272068024e-05,7,1,-14462.99960512596,845.53125,1,0.00023020803928375244,200,1,-14462.99981913051,845.53125
HS35,1,0.0001404574140906334,11,0,0.11111090073546492,845.546875,1,4.187505692243576e-05,7,1,-8.888888905998193,845.546875,1,0.00014316756278276443,50,1,-8.888888888869706,845.546875
HS35MOD,1,0.0002882089465856552,37,0,0.2500003629280467,845.5625,1,3.395881503820419e-05,5,1,-8.749997346908247,845.5625,1,0.00014137476682662964,50,1,-8.750000000693987,845.5625
HS51,1,8.979067206382751e-05,10,0,2.600349126247181e-06,845.59375,1,3.0792318284511566e-05,1,1,-5.999999999999967,845.59375,1,0.00013970863074064255,50,1,-6.000000000000002,845.59375
HS52,1,9.629223495721817e-05,15,0,5.326641039541959,845.59375,1,3.808271139860153e-05,6,1,-0.6733533767373755,845.59375,1,0.0001333337277173996,50,1,-0.673352435524134,845.59375
HS53,1,9.55415889620781e-05,10,0,4.093013859701826,845.640625,1,3.441609442234039e-05,6,1,-1.9069769803178196,845.640625,1,0.0001300005242228508,25,1,-1.906974138520308,845.640625
HS76,1,0.00015041697770357132,10,0,-4.681818529351153,845.640625,1,4.4833868741989136e-05,11,1,-4.6818181901781415,845.640625,1,0.0001338748261332512,50,1,-4.681817614451218,845.640625
HUES-MOD,0,10.014147915877402,7750,4,34824463.87334463,845.671875,1,0.0249582901597023,20,1,34824463.77527447,845.640625,0,0.11174304224550724,500,3,1e+30,843.671875
HUESTIS,1,0.02574954181909561,13,0,348244615064.4884,843.671875,1,0.04468149971216917,44,1,348244638718.7173,843.671875,0,0.021249334327876568,75,3,1e+30,843.671875
KSIP,1,0.2042455840855837,260,0,0.5757962952779756,843.671875,1,0.004819000139832497,31,1,0.575797289323914,836.015625,1,0.39807245787233114,15625,1,0.575796617447379,836.046875
LASER,1,0.05225537531077862,84,0,2409601.310332631,836.03125,1,0.02084437571465969,68,1,2409601.325399873,836.390625,1,0.005222000181674957,125,1,2409601.0912937336,835.640625
LISWET1,1,1.6005536252632737,313,0,25.002781528392006,835.6875,1,4.307054624892771,1708,1,-2500.1553386984506,835.703125,0,10.001340209506452,31219,2,-2500.40784201601,835.6875
LISWET10,1,1.1213540825992823,302,0,25.001871289857263,835.6875,1,0.5898429164662957,209,1,-2500.9475559784087,835.703125,0,10.001251333393157,31276,2,-2500.948194740363,835.6875
LISWET11,1,1.1431140005588531,285,0,24.999270474279456,835.6875,1,0.4251154586672783,147,1,-2500.749545531532,835.703125,0,10.001196834258735,31403,2,-2500.750798938526,835.6875
LISWET12,1,2.3144257916137576,271,0,24.998708218752654,835.734375,1,4.144445917569101,1701,1,-2474.07076413204,835.75,0,10.001096833497286,31323,2,-2500.7514283737332,835.734375
LISWET2,1,0.9260068750008941,294,0,24.997416430792555,835.765625,1,0.45143116638064384,159,1,-1666.9921263687343,835.78125,0,10.0011662915349,31390,2,-1666.992669302666,835.765625
LISWET3,1,1.6613647919148207,289,0,25.00069820061981,835.875,1,0.4358155420050025,158,1,-1000.258856440592,835.890625,0,10.00260562542826,31412,2,-1000.2593891258373,835.875
LISWET4,1,0.9898070823401213,297,0,24.999583056907,835.875,1,0.428980958648026,153,1,-714.5159808836387,835.890625,0,10.001103084534407,31407,2,-714.5165039454943,835.875
LISWET5,1,0.9701875001192093,297,0,25.033724926342984,835.875,1,0.37333641666918993,126,1,-15976.16589247832,835.890625,1,8.18986583314836,25750,1,-15976.166328696543,835.875
LISWET6,1,1.0537940422073007,293,0,24.995181535971824,835.90625,1,0.4842628752812743,168,1,-2162.224350426666,835.921875,0,10.001091250218451,31573,2,-2162.224882339864,835.90625
LISWET7,1,1.0836894577369094,299,0,25.002231260140434,835.90625,1,0.5644707083702087,199,1,-2500.2572754359853,835.921875,0,10.00118700042367,31449,2,-2500.2578649775655,835.90625
LISWET8,1,1.070081333629787,298,0,25.00218715000301,835.96875,1,0.44804929103702307,157,1,-2500.257240275201,835.984375,0,10.001138292253017,31516,2,-2500.2579107269794,835.96875
LISWET9,1,1.3834852911531925,289,0,25.00174051720296,835.96875,1,4.202889332547784,1757,1,-2457.538346494665,835.984375,0,10.001232165843248,31430,2,-2500.258359387486,835.96875
LOTSCHD,1,0.00021583307534456253,18,0,2398.4107153191767,835.9375,1,0.00013058260083198547,28,1,2398.4157529392673,835.9375,1,0.0002427501603960991,175,1,2398.4143264024315,835.9375
MOSARQP1,1,0.07897854037582874,48,0,-952.8754458021842,836.15625,1,0.013422208838164806,32,1,-952.8754420096203,836.125,1,0.0399789996445179,575,1,-952.8754444195737,836.125
MOSARQP2,1,0.020989375188946724,30,0,-1597.4822756244594,836.125,1,0.0050466665998101234,26,1,-1597.4821192242548,836.21875,1,0.012103541754186153,225,1,-1597.48212021698,836.21875
POWELL20,1,2.449511124752462,1179,0,44308084871.746284,836.25,0,10.002583916299045,8083,-5,47859062635.77142,836.265625,0,10.00106108468026,31750,8,44401128250.97587,836.25
PRIMAL1,1,0.003838292323052883,10,0,-0.035012988931080354,836.21875,1,0.0033469172194600105,20,1,-0.03501296589708461,836.21875,1,0.0028093745931982994,75,1,-0.03501296490144681,836.21875
PRIMAL2,1,0.007274291478097439,13,0,-0.03373368124014636,836.21875,1,0.006689957343041897,24,1,-0.03373366688588175,836.234375,1,0.0034009162336587906,50,1,-0.03373367611583799,836.296875
PRIMAL3,1,0.021155082620680332,24,0,-0.13575584979535021,836.296875,1,0.01999254059046507,40,1,-0.13575583686436157,836.296875,1,0.01151449978351593,75,1,-0.13575584029297386,836.296875
PRIMAL4,1,0.0202178331092,28,0,-0.7460908209424775,836.34375,1,0.021887874230742455,40,1,-0.7460908418956492,836.34375,1,0.013247666880488396,125,1,-0.7460908446474571,836.34375
PRIMALC1,1,0.006640332750976086,132,0,-6155.251664754257,836.34375,1,0.00048562418669462204,9,1,-6154.912184040492,836.34375,0,10.000249458476901,1068895,8,4245.758527268742,836.375
PRIMALC2,1,0.004545499570667744,155,0,-3551.3134703155683,836.359375,1,0.0004348345100879669,9,1,-3550.8293719299945,836.359375,0,10.000242250040174,1225035,8,-80840.94470768466,836.390625
PRIMALC5,1,0.008563624694943428,139,0,-427.23305216226055,836.359375,1,0.0008292915299534798,8,1,-427.17487998058493,836.359375,1,3.082045417279005,275700,1,-427.23264200284245,836.46875
PRIMALC8,1,0.017992457374930382,132,0,-18309.429988967502,836.4375,1,0.0011959588155150414,10,1,-18307.533508730437,836.4375,0,10.000238290987909,481112,8,-8591955.895180259,836.46875
Q25FV47,0,10.078168790787458,691,4,13727173.836502675,836.984375,1,2.0040260404348373,1025,1,13744444.700920153,838.140625,0,10.001040833070874,46014,8,13744181.086175166,839.125
QADLITTL,1,0.011911457404494286,186,0,480313.65538245626,839.15625,1,0.0021246671676635742,95,1,480318.54830195516,839.15625,1,0.00669216550886631,2300,1,480319.2200923401,839.15625
QAFIRO,1,0.0033719586208462715,134,0,-1.5907816584321415,839.15625,1,0.00026674941182136536,30,1,-1.5908249185671253,839.15625,1,0.00038012489676475525,200,1,-1.590778705452883,839.15625
QBANDM,1,0.455975541844964,577,0,16352.342100859658,839.21875,1,0.03772500064224005,272,1,16352.341088072659,839.1875,1,0.34283020813018084,19975,1,16352.342904581357,839.21875
QBEACONF,1,0.3162446254864335,4935,0,164712.88402087762,839.21875,1,0.008827167563140392,75,1,164712.06003456528,839.1875,1,0.04547612555325031,3450,1,164712.7120890567,839.1875
QBORE3D,1,0.32298600021749735,4317,0,3107.8619500460486,839.21875,1,0.009513916447758675,113,1,3100.19301612506,839.1875,0,10.000266291201115,1004749,8,3102.4672514159706,839.21875
QBRANDY,1,0.14094358310103416,339,0,28375.08347087387,839.21875,1,0.02558816596865654,285,1,28374.63638460621,839.1875,1,0.46231700014322996,38875,1,28375.087710661508,839.21875
QCAPRI,0,10.00633954256773,13163,4,66617825.3571312,839.21875,1,0.06795779056847095,572,1,66774754.19874133,839.234375,0,10.000248500145972,672730,8,66783718.3181728,839.21875
QE226,1,0.19476129207760096,361,0,212.6534388143343,839.234375,1,0.027438790537416935,239,1,205.54001879393977,839.203125,0,10.000251958146691,596781,8,205.54019644949983,839.234375
QETAMACR,1,2.5731109995394945,3841,0,86759.82387759732,839.25,1,0.1510943342000246,226,1,86759.50707193787,839.21875,1,7.6603577909991145,79550,1,86760.19689898615,838.21875
QFFFFF80,1,3.6315898336470127,1828,0,873156.2162003036,837.25,1,0.11125712469220161,266,1,873049.7026772605,837.515625,0,10.000299166887999,173171,8,873164.9375457445,837.5
QFORPLAN,1,0.23631325084716082,691,0,7444337267.8043375,837.5,1,0.058748542331159115,428,1,7456610121.557367,837.515625,0,10.000243166461587,588188,8,7456436635.447126,837.5
QGFRDXPN,1,0.986933333799243,1779,0,100790584847.79817,838.015625,1,0.06958279199898243,288,1,100790586109.21646,838.03125,0,10.000291042029858,435628,8,100790585780.22923,838.015625
QGROW15,1,0.8444229159504175,986,0,-101691810.3095396,838.015625,1,0.10261737462133169,482,1,-101693645.05847943,838.03125,0,10.00029791612178,326230,8,-101689427.50056566,838.015625
QGROW22,1,1.5466990824788809,1835,0,-149626329.01012686,838.03125,1,0.211795000359416,681,1,-149628984.6821781,838.046875,0,10.000327583402395,217375,8,-149583832.9327205,838.03125
QGROW7,1,0.22026749979704618,657,0,-42797854.243864134,838.046875,1,0.011057083494961262,108,1,-42798691.57210706,838.015625,1,4.024530333466828,287975,1,-42798690.134863466,838.046875
QISRAEL,1,0.06615899968892336,599,0,25347973.83908209,838.046875,1,0.006236125715076923,97,1,25347835.380718473,838.015625,1,1.0095252078026533,112725,1,25347838.300993018,838.046875
QPCBLEND,1,0.004618125036358833,76,0,-0.007845904083009074,838.015625,1,0.001151333563029766,49,1,-0.007844866628003965,838.015625,1,0.006322958506643772,1950,1,-0.007843196016759858,838.015625
QPCBOEI1,1,0.03558079153299332,221,0,11503764.82786411,838.03125,1,0.015432083047926426,102,1,11503910.679773314,838.03125,0,10.000231667421758,496620,8,11503914.009768106,838.0625
QPCBOEI2,1,0.143782208673656,5294,0,8171950.97602218,838.0625,0,0.004570333287119865,109,-3,0.0,838.03125,0,10.000254459679127,1622026,8,8171730.494893325,838.0625
QPCSTAIR,1,0.12470408342778683,453,0,6204354.201469115,838.0625,1,0.03269283473491669,181,1,6204387.476040235,838.03125,1,0.49228574987500906,19025,1,6204387.476082068,838.0625
QPILOTNO,0,10.023158916272223,2089,4,4730748.717843752,838.09375,1,0.9256483744829893,774,1,4728586.6461463515,838.109375,0,10.000443875789642,73792,8,4726352.37584563,838.09375
QPTEST,1,0.00011991709470748901,9,0,4.371909029260966,838.078125,1,5.7499855756759644e-05,7,1,4.371886847690245,838.078125,1,0.00016566738486289978,75,1,4.371875000034403,838.078125
QRECIPE,1,0.0034394171088933945,63,0,-266.6160016321989,838.078125,1,0.0009607495740056038,25,1,-266.6159285066268,838.078125,1,0.0016568750143051147,300,1,-266.61599261419036,838.078125
QSC205,1,0.0071000000461936,44,0,-0.005814166217981224,838.078125,1,0.00235150009393692,34,1,-0.00581484635058647,838.078125,1,0.0014769993722438812,200,1,-0.0058140237176510364,838.078125
QSCAGR25,1,0.13518179208040237,255,0,201737938.67025664,838.109375,1,0.03386049997061491,277,1,201737941.33913258,838.078125,1,0.281698334030807,21850,1,201738264.2777991,838.109375
QSCAGR7,1,0.016616917215287685,221,0,26865988.30431129,838.078125,1,0.004636083729565144,132,1,26865927.951936785,838.078125,0,10.000267332419753,2948909,8,26867529.303417914,838.109375
QSCFXM1,1,0.47144825011491776,749,0,16882878.599844284,838.109375,1,0.042888875119388103,258,1,16882688.43437653,838.078125,0,10.000247332267463,561265,8,16882693.8143724,838.109375
QSCFXM2,1,1.3056544996798038,878,0,27776352.34531931,838.109375,1,0.12374112475663424,378,1,27776425.100651115,838.125,0,10.000298959203064,272374,8,27776160.339488123,838.109375
QSCFXM3,1,2.2210755003616214,1010,0,30816538.915726956,838.109375,1,0.22423366736620665,470,1,30816493.04110246,838.125,0,10.000331084243953,180658,8,30816355.419243194,838.109375
QSCORPIO,1,0.08178629167377949,389,0,1880.509485885932,838.109375,0,0.008108125068247318,75,-3,0.0,838.078125,0,10.000231000594795,963496,8,1880.2709299786468,838.109375
QSCRS8,0,10.009958666749299,9033,4,906.9674869036243,838.109375,1,0.07413587439805269,270,1,904.5602850558504,838.125,1,4.706910750828683,158175,1,904.5657725260388,838.109375
QSCSD1,1,0.048964125104248524,91,0,8.66666859916288,838.078125,1,0.0144943343475461,99,1,8.666665230088045,838.078125,1,0.02729062456637621,1575,1,8.66666556102771,838.078125
QSCSD6,1,0.2626217491924763,343,0,50.80821384223897,838.109375,1,0.06746916566044092,243,1,50.80822113364923,838.125,1,0.4781214576214552,15675,1,50.80821380503227,838.109375
QSCSD8,1,1.0405520843341947,228,0,940.7632373324561,838.109375,1,0.2066641254350543,339,1,940.7635540182777,838.21875,1,0.10358879156410694,1550,1,940.7629281336145,838.203125
QSCTAP1,1,0.2075362903997302,419,0,1415.861111278883,838.21875,1,0.029072457924485207,239,1,1415.861124962817,838.1875,0,10.000243708491325,744228,8,1420.1771144701954,838.21875
QSCTAP2,1,0.21927841752767563,74,0,1735.02649621101,838.265625,1,0.07884104177355766,143,1,1735.0261569985635,838.28125,0,10.000364958308637,155875,8,1734.9082858127135,838.265625
QSCTAP3,1,0.40097204130142927,94,0,1438.7545366359604,838.296875,1,0.10890870727598667,139,1,1438.7545745753218,838.3125,0,10.000415333546698,123410,8,1438.8371101112361,838.296875
QSEBA,1,9.534521541558206,6810,0,81481228.67379251,838.296875,1,0.028835167177021503,128,1,81480256.47216193,838.265625,1,6.279826708137989,241875,1,81481644.97525421,838.296875
QSHARE1B,1,1.1388670420274138,37199,0,720121.2730144039,838.296875,1,0.02248508296906948,423,1,720078.2814725242,838.265625,1,0.6780123338103294,99700,1,720090.2644355464,838.3125
QSHARE2B,1,0.02322558406740427,365,0,11703.603414013693,838.28125,1,0.004057625308632851,153,1,11703.660116057361,838.28125,0,10.000222375616431,2649445,8,11704.539503111073,838.3125
QSHELL,0,10.021901291795075,1621,4,1572636843002.0056,838.3125,1,0.4689856255427003,386,1,1572636841659.7815,838.734375,1,0.8950897082686424,6800,1,1572637324312.4363,838.71875
QSHIP04L,1,1.2339719170704484,706,0,2420015.540510539,838.78125,1,0.14590574987232685,364,1,2420014.8340989184,838.796875,1,0.2526771668344736,5525,1,2420015.7196363537,838.78125
QSHIP04S,1,0.6706594163551927,657,0,2424993.6717395834,838.8125,1,0.09764745831489563,328,1,2424993.554990882,838.828125,1,0.0811703335493803,2550,1,2424994.394322844,838.8125
QSHIP08L,1,7.245661875233054,631,0,2376040.617901125,838.8125,1,0.8225858751684427,369,1,2376040.636811156,838.828125,1,2.684690250083804,8500,1,2376040.8346574446,838.8125
QSHIP08S,1,1.9012162499129772,416,0,2385728.8458901043,838.8125,1,0.2354298746213317,292,1,2385728.4352404317,838.828125,1,0.45276833325624466,4200,1,2385727.988467625,838.8125
QSHIP12L,0,10.01224850025028,716,4,2636308.8126059836,838.8125,1,1.5795708745718002,454,1,3018876.5267719775,841.265625,1,1.426906917244196,2725,1,3018876.3882172466,842.25
QSHIP12S,1,8.334586458280683,3392,0,3056962.253268243,842.296875,1,0.3326049167662859,368,1,3056961.570086856,842.265625,1,0.2586572924628854,2050,1,3056962.0523159727,841.296875
QSIERRA,1,0.5952642075717449,233,0,23750495.527343184,840.8125,1,0.14770470838993788,371,1,23750486.066666275,840.828125,1,0.5950144995003939,9375,1,23750677.842889067,840.8125
QSTAIR,1,0.4655224587768316,735,0,7985452.7526520975,840.8125,1,0.0703842081129551,297,1,7985452.718992157,840.828125,0,10.000245125032961,329379,8,7985452.756270504,840.8125
QSTANDAT,1,0.16565195750445127,250,0,6411.834672549553,840.828125,1,0.009201999753713608,36,1,6411.832555866471,840.796875,1,0.21036779042333364,8325,1,6411.849765518491,840.828125
S268,1,0.00235954113304615,530,0,-1.2605050869751722e-06,840.828125,1,5.6833960115909576e-05,7,1,-14462.99960512596,840.828125,1,0.00021829083561897278,200,1,-14462.99981913051,840.828125
STADAT1,0,10.004468916915357,7356,4,-1718451.7603630377,841.0625,1,0.9050423745065928,1104,1,-28526860.722362,841.078125,0,10.000489790923893,116506,8,-28708436.23629822,841.0625
STADAT2,0,10.01757341530174,9020,4,-0.8550680855976619,841.140625,1,0.31165500078350306,447,1,-32.62666092617278,841.15625,0,10.000515082851052,116254,8,-35.45987093382913,841.140625
STADAT3,0,10.021392291411757,4727,4,-0.12287188420834935,842.03125,1,0.9309456255286932,616,1,-35.779460263322335,842.046875,0,10.000748042017221,58752,8,-39.00538829517281,842.03125
STCQP1,0,13.348516959697008,11,4,126708.62019147897,939.3125,1,0.133198082447052,47,1,155143.55088111933,939.328125,1,0.029078500345349312,75,1,155143.55470415507,939.28125
STCQP2,0,10.820830582641065,152,4,22220.60276586782,946.96875,1,0.2279646247625351,40,1,22327.31294054062,946.984375,1,0.0528221670538187,75,1,22327.313272417334,946.96875
TAME,1,8.020829409360886e-05,4,0,2.5000162330878065e-11,946.953125,1,5.670823156833649e-05,4,1,2.6937728588081415e-24,946.953125,1,0.00016354210674762726,50,1,2.4651903288156624e-32,946.953125
UBH1,0,10.007546916604042,2327,4,4.922463933289637,950.4375,1,0.5493192505091429,200,1,1.6168367627172242,950.453125,0,10.001770624890924,20209,8,1.1163726540370273,950.4375
VALUES,1,0.010845417156815529,53,0,-1.3113274834099327,950.40625,1,0.0037337075918912888,38,1,-1.3966207845262746,950.40625,1,0.010621790774166584,975,1,-1.3966225798117733,950.40625
YAO,1,0.49121212493628263,448,0,5.745095235431393,950.453125,1,2.283450124785304,5734,1,-167.1496076128745,950.46875,0,10.000404166057706,152064,8,-265.44146327974687,950.453125
ZECEVIC2,1,8.0084428191185e-05,7,0,-4.124999966981293,950.421875,1,5.529262125492096e-05,5,1,-4.125000000185003,950.421875,1,0.0001681661233305931,100,1,-4.124999965783571,950.421875
